,Title,platform,release_date,summary,meta_score,user_review
1024,Contra Advance: The Alien Wars EX,Game Boy Advance,2002-11-03,"In Contra Advance The Alien Wars EX™, take down massive hordes of aliens, robots, and monsters to stop the evil Red Falcon from taking over the world! Featuring all new levels and graphics from the original Super Nintendo® hit, Contra's fast paced shooting action will keep you on the edge of your seat!",70,7.7
1025,Namco Museum Remix,Xbox 360,2007-10-23,"Namco Museum Remix revitalizes popular Namco games, recreating them from the ground up with intuitive controls utilizing the Wii Controller and with new visuals in terms of both graphics and presentation. ""Pac’n Roll Remix"" - Pac-Man ROLLS his way to victory instead of chomping his way through. Players navigate Pac-Man by rolling him through worlds where he will face deadly obstacles, roll-up classic pac pellets and use awesome power-ups. ""Galaga Remix"" – With Galaga invaders arriving from the far reaches of space, players must try to shoot down the invading forces and save Pac-Man from ultimate destruction. Up to four-players are able to challenge the oncoming invaders, and scores are tallied for each player. ""Pac-Motos Remix"" - The ability to destroy a planet is insignificant next to knocking your opponents off a series of unique and colorful stages all while using the Wii Controller to move, dash and power-up your Pac-Man! Players engage in a small arena where the goal is to knock opponents off while grabbing power-ups and navigating through challenging environments. ""Rally-X Remix"" – With up to 4 players capable of taking the screen at once, this classic Namco title is brought new life with slick graphics, power-ups and a new intuitive control scheme using the Wii Remote to steer. ""Gator Panic Remix"" – Gators pose a serious problem and Pac-Man is here to solve it. Players use Pac-Man to whack at emerging gators that appear on screen. The player with the most gator whacks at the end of a match wins! Also included in Namco Museum Remix are nine faithful classic Namco arcade games to experience again or for the first time. These arcade games include: Galaxian, ""Dig Dug, Mappy, Xevious, Gaplus, Super Pac-Man, Pac & Pal, Pac-Mania and Cutie Q. [Namco Bandai Games]",49,7.4
1026,2064: Read Only Memories,PC,2015-10-05,"The time December, 2064AD. Your life as a struggling journalist is interrupted by the world’s first sapient robot, a ROM named Turing. Explore the world of Neo-San Francisco, befriend the locals, and decide how to approach your encounters.",80,4.3
1027,2064: Read Only Memories,PlayStation 4,2017-01-17,"Neo-San Francisco, 2064 AD. Your life as a struggling journalist is interrupted by the world’s first sapient machine, a ROM (Relationship and Organizational Manager) named Turing. Together, you and the quirky robot will encounter a colorful cast of locals and overcome challenges as you uncover the city’s secrets behind the overlapping futures of technology and humanity. Can you survive in Neo-SF? Or will the mystery go unsolved?",76,3.4
1028,The Incredible Adventures of Van Helsing,PC,2013-05-22,"Set in a gothic-noir universe resembling a fantastical 19th century Europe filled with monsters, magic, and weird technology, The Incredible Adventures of Van Helsing will follow the son of the famed hunter, known in-game as Van Helsing, in a tale wrought with wry humor and snappy dialogue. Van Helsing, a larger-than-life hero possessing a dark yet romantic charm, will follow his path to the dismal land of Borgovia where former supernatural foes have enlisted his help to defeat a new scourge terrorizing the ravaged Eastern European city. With an assortment of extraordinary characters, an engrossing storyline, and a beautifully dark and gothic art style, The Incredible Adventures of Van Helsing looks to bring RPG enthusiasts an anachronistic adventure like no other.",72,8.1
1029,The Incredible Adventures of Van Helsing,Xbox One,2015-12-01,"Set in a gothic-noir universe resembling a fantastical 19th century Europe filled with monsters, magic, and weird technology, The Incredible Adventures of Van Helsing will follow the son of the famed hunter, known in-game as Van Helsing, in a tale wrought with wry humor and snappy dialogue. Van Helsing, a larger-than-life hero possessing a dark yet romantic charm, will follow his path to the dismal land of Borgovia where former supernatural foes have enlisted his help to defeat a new scourge terrorizing the ravaged Eastern European city. With an assortment of extraordinary characters, an engrossing storyline, and a beautifully dark and gothic art style, The Incredible Adventures of Van Helsing looks to bring RPG enthusiasts an anachronistic adventure like no other.",59,7.3
1030,The Lost Chronicles of Zerzura,PC,2014-07-10,,76,6.8
1031,Planar Conquest,Xbox 360,2016-05-30,"Assume the roll of an all-powerful Sorcerer Lord and lead one of 8 different races to the ultimate victory. Explore multiple planes of existence, raid dungeons, and conquer cities. Expand your armies, cast mighty spells, and summon godly creatures to do your bidding. Fight the enemies in D20 OGL battles.",53,6.4
1032,In the Groove,PlayStation 2,2005-06-08,"Get your groove on with the home version of the next generation arcade dance game. In The Groove was designed from the ground up by hardcore dance game fans and represents an incredible leap forward in the genre. While maintaining the same addictive game play of popular dance titles, In The Groove features exclusive, never before seen features like modifiers that make the game arrows spin, change speeds, and boomerang, and move in 3D along with over 60 other amazing effects that create additional challenges and endless customization for dance game fans. Over 70 brand new songs from proven talent and new independent artists, covering a wide variety of genres. Over 550 new step patterns from step artists in the dance community. Unlockable songs and courses. 3 Styles of play: One Player, Two Player, or Double Pad. Up to 5 difficulty levels per song to accommodate all players from beginners to experts. Fast menu navigation and 2 minute songs- spend more time playing. Innovations in step choreography- mines, hands, and quads will have you making new kinds of moves. [RedOctane]",72,8.5
1033,Pro Cycling Manager Season 2013: Le Tour de France - 100th Edition,PC,2013-06-20,"With its 2013 edition, Pro Cycling Manager pushes race realism with a more refined Career mode. Use its remodelled and improved interface to better prepare for your season. Negotiate the team’s objectives with your sponsors, and plan the races/your riders’ objectives according to the desired results and each rider’s expectations. Strive to satisfy each member of the team throughout the season with regard to their race schedule: take into account the prestige of each race, and ensure that the event matches the rider’s profile otherwise it may knock his satisfaction.",65,7.5
1034,Sports Jam,Dreamcast,2001-07-18,"Foot ball, Baseball, Basketball, Hockey, Tennis, Soccer, Golf, and Cycling! You must master skills from each of these sports to take on competitors in your quest to earn the title of King of Sports! Each game features full 3D characters and background graphics detailing your accomplishments or defeats. Play well and you'll learn what it feels like to be a champion in the greatest sports the world has to offer!",64,8.0
1035,Cities: Skylines - Snowfall,PC,2016-02-18,"In Snowfall, the difficulty heats up when the city cools down, thanks to a new in-game temperature reading that will have residents bundling up for warmth when the weather outside is frightful. Cosmetic weather, composed of rain and fog, will be added to Cities: Skylines as part of a free update, along with other features to be announced soon. Players who own Snowfall will get to face new challenges such as ensuring that their city infrastructure can handle seasonal heating demands - and, when the snow starts falling, that the roads can stay clear. New snowplow services will be required to prevent traffic from freezing in place, while new all-weather trams and expanded public transit options can help residents and visitors alike get around town - and visit the new winter parks and landmarks available in Snowfall.",72,6.7
1036,Advance Wars 2: Black Hole Rising,Game Boy Advance,2003-06-24,"Just when you thought you'd seen the last of them, the Black Hole Army is storming back in this sequel to the award-winning Game Boy Advance strategy game. With new COs under his command, Sturm is leading a new invasion force, and it'll take advance strategy to stop him!",89,8.9
1037,Runbow,Wii U,2015-08-27,Runbow is a fast-paced action party game with a novel color mechanic: Up-to nine players race against each other as platforms and obstacles appear and disappear when the background changes vibrant colors.,82,7.8
1038,Runbow,Switch,2018-07-03,"Runbow Pocket takes all the fun colorful chaos of Runbow on Wii U and brings it to New Nintendo 3DS. Master Adventure, Bowhemoth, and Satura's Space Adventure on your own, or play head to head with friends over local ad hoc networking. Players can also create StreetPass cards to share fun stats with friends. Key Gameplay Features: -The world changes with each swipe of color so players have to think fast to beat hundreds of platforming challenges. -Tons of unlockable costumes and content, as well as 19 guest characters from other developers. -Brand new Guest Character, Shantae, from WayForward's Shantae series. Shantae will also be available in the Wii U version of Runbow. -All the content of Runbow, hundreds of levels, right in the palm of your hand. -Create a StreetPass card to share stats, titles, and your personal best times with anyone else playing Runbow Pocket.",79,7.8
1039,Runbow,PlayStation 4,2018-07-03,"Runbow Pocket takes all the fun colorful chaos of Runbow on Wii U and brings it to New Nintendo 3DS. Master Adventure, Bowhemoth, and Satura's Space Adventure on your own, or play head to head with friends over local ad hoc networking. Players can also create StreetPass cards to share fun stats with friends. Key Gameplay Features: -The world changes with each swipe of color so players have to think fast to beat hundreds of platforming challenges. -Tons of unlockable costumes and content, as well as 19 guest characters from other developers. -Brand new Guest Character, Shantae, from WayForward's Shantae series. Shantae will also be available in the Wii U version of Runbow. -All the content of Runbow, hundreds of levels, right in the palm of your hand. -Create a StreetPass card to share stats, titles, and your personal best times with anyone else playing Runbow Pocket.",71,5.1
1040,Tony Hawk's Underground 2 Remix,PSP,2005-03-23,"Tony Hawk's Underground 2 Remix takes players on an all new skating blitzkrieg where they embark on the ultimate road trip from Tony Hawk's Underground 2 in addition to wreaking havoc in four never-before-seen city-levels - Las Vegas, Atlanta, Kyoto and Santa Cruz -- that feature original goals, level changing events and unlockable characters. For the first time, players can live the Tony Hawk console gaming experience on a handheld device as they join either Tony Hawk or Bam Margera on a World Destruction Tour where they nail insane tricks with lightning speed or slow motion focus control, pull off mischievous pranks, and conquer sick terrain through 13 single-player levels, or face off against up to three friends in 10 wireless multiplayer games. Players can import their picture onto the PSP via any memory stick and map their face to create their own personalized game character in an instant. [Activision]",83,8.1
1041,Guilty Gear Dust Strikers,DS,2006-04-25,"The no holds barred, sci-fi fighting franchise is reborn on the Nintendo DS. Guilty Gear Dust Strikers features all 21 Guilty Gear characters from previous versions (including SolBadbuy, Potemkin, May, Dizzy and others) in a battle that takes place on multiple levels across both DS screens. Navigate different types of floors and traps as you battle against the computer or via wireless multi-player connections. 6 modes of play including Arcade, Story, VS Battle and mini games. Customize the Robo-Ky character with various move sets in the Robo-Ky factory mode. Battle your friends in 4-player wireless versus matches where the last person standing moves on. Master 10 mini-games like Billiards, Arm-Wrestling and Sword Practice that unlock more Robo-Ky moves. Beware of poison, fire, thunder and bomb traps set to damage unaware opponents. Special moves like Psych Burst, Dust Attack and Roman Cancel all return in Guilty Gear Dust Strikers. [Majesco]",60,6.1
1042,Medal of Honor: Above and Beyond,PC,2020-12-10,"Medal of Honor: Above and Beyond is an action-packed and incredibly immersive VR experience set in World War II, where you step into the boots of an agent of the Office of Strategic Services (OSS) in war torn Europe. A deep single-player campaign takes you through historic events on land, air, and sea, sabotaging Nazi bases, subverting enemy plans, aiding the French Resistance, and much, much more. With the Oculus Rift, we’re bringing players into the Medal of Honor series in an entirely new way, with an experience that transports you back to Europe in the 1940s. It’s the closest thing to a time machine you’ll ever see.",67,6.3
1043,Sacrifice (2000),PC,2000-11-05,"Sacrifice provides a truly fresh approach in the 3-D RTS genre, allowing players to act as both commander and combatant over huge, real-time, generated landscapes in single or multiplayer modes. Wizards will not be disappointed as Sacrifice serves up over 50 spells and creatures. [Interplay]",89,8.7
1044,Rune (2000),PC,2000-11-07,"A third-person game of action and adventure steeped in Norse mythology and high fantasy. Use your brains and massive brawn to survive as you explore the 3-D game world fighting off creatures from Norse legend and the fertile minds of the Human Head staff with their array of swords, axes, and magical devices. [Gathering of Developers]",76,7.5
1045,Heroes of Might and Magic: Quest for the Dragon Bone Staff,PlayStation 2,2001-04-18,"The venerable ""Heroes of Might and Magic"" series arrives from the PC, shedding its 2D and turn-based roots while maintaining a traditional RPG storyline -- find the cure for your poisoned king.",64,6.2
1046,ECHO,PlayStation 4,2017-10-10,"After a century in stasis the girl En arrives at her destination: a palace out of legend, a marvel of the old civilization eons gone, still awaiting its first human occupants. Out here, using forgotten technologies, she hopes to bring back a life that shouldn’t have been lost.",79,7.0
1047,Harvest Moon 3D: A New Beginning,3DS,2012-11-06,Harvest Moon 3D: A New Beginning gives players a chance to rebuild the town of Echo Village to be the best community in the land.,74,7.7
1048,The Sims 3: Pets,PC,2011-10-18,"Players take creativity by the reins and play out the stories they want to tell whether it’s the single guy in the dog park picking up women or the criminal overlord and her evil cat. Across all platforms, The Sims 3 Pets players will be able to create, customize and control over a hundred different kinds of cats and dogs like the Australian Shepherd and the Maine Coon, and can breed and share them with friends providing endless possibilities to create new and exciting breeds. Each platform brings a new world for players to explore from the Xbox 360 and PlayStation 3 versions where players will unlock achievements by solving mysteries around town, the Nintendo 3DS with new lots to unlock to the PC/Mac version where they’ll be able to take their pets on play dates or meet other Sims at the dog park, cat jungles and even a horse ranch. With The Sims 3 Pets, players will be able to create, control and play with life with their pets.",79,6.1
1049,The Sims 3: Pets,Xbox 360,2011-10-18,"Players take creativity by the reins and play out the stories they want to tell whether it’s the single guy in the dog park picking up women or the criminal overlord and her evil cat. Across all platforms, The Sims 3 Pets players will be able to create, customize and control over a hundred different kinds of cats and dogs like the Australian Shepherd and the Maine Coon, and can breed and share them with friends providing endless possibilities to create new and exciting breeds. Each platform brings a new world for players to explore from the Xbox 360 and PlayStation 3 versions where players will unlock achievements by solving mysteries around town, the Nintendo 3DS with new lots to unlock to the PC/Mac version where they’ll be able to take their pets on play dates or meet other Sims at the dog park, cat jungles and even a horse ranch. With The Sims 3 Pets, players will be able to create, control and play with life with their pets.",70,3.5
1050,The Sims 3: Pets,PlayStation 3,2011-10-18,"Players take creativity by the reins and play out the stories they want to tell whether it’s the single guy in the dog park picking up women or the criminal overlord and her evil cat. Across all platforms, The Sims 3 Pets players will be able to create, customize and control over a hundred different kinds of cats and dogs like the Australian Shepherd and the Maine Coon, and can breed and share them with friends providing endless possibilities to create new and exciting breeds. Each platform brings a new world for players to explore from the Xbox 360 and PlayStation 3 versions where players will unlock achievements by solving mysteries around town, the Nintendo 3DS with new lots to unlock to the PC/Mac version where they’ll be able to take their pets on play dates or meet other Sims at the dog park, cat jungles and even a horse ranch. With The Sims 3 Pets, players will be able to create, control and play with life with their pets.",70,3.9
1051,Warsaw,Switch,2020-10-01,"WARSAW is a challenging WWII turn-based tactical rpg taking place in a war torn city and sporting beautiful hand painted graphics. Lead a small, dedicated outfit of civilians and soldiers with their unique skills in their fight to take back the city besieged by occupying forces.",69,tbd
1052,Warsaw,PC,2019-10-02,"WARSAW is a challenging WWII turn-based tactical rpg taking place in a war torn city and sporting beautiful hand painted graphics. Lead a small, dedicated outfit of civilians and soldiers with their unique skills in their fight to take back the city besieged by occupying forces.",62,7.0
1053,A-Train: All Aboard! Tourism,Switch,2021-03-12,"All aboard! Tourism is a one-way ticket to urban planning. A-Train, the classic urban development simulation game that allows you to create the city of your dreams, is now available on the Nintendo Switch. Become the president of your very own railroad company, laying tracks and running your trains as you see fit. However, you will be responsible for more than the railroad. You'll also be tasked with managing subsidiaries, playing the stock market, and participating in urban planning, in order to develop and expand your town. This latest installment in the A-Train series introduces the element of tourism to the urban planning formula, and focuses on building up towns into bustling tourism capitals. Providing realistic business management simulations of financing, investing, and more, as well as a wide variety of customizable options for all your vehicles, A-Train: All Aboard! Tourism is packed full of features for you to explore. But don't be overwhelmed—players old and new alike will be able to jump right into the series thanks to the fun and practical tutorials provided in the early stages. So why not hop aboard the A-Train with your trusted team of advisors, and start crafting a bright future for your town?",67,tbd
1054,WRC Powerslide,Xbox 360,2013-03-08,"WRC Powerslide is the brand new game, developed by Milestone, which mixes amazing and exciting gameplay elements in one game. With a colorful and smart style, this new title offer the chance to try all the WRC licensed elements with an arcade attitude.",58,5.8
1055,Bleach: Shattered Blade,Wii,2007-10-09,"(Also known as ""Bleach Wii: Hakujin Kirameku Rondo"") Bleach: Shattered Blade enables gamers to wield the Wii Remote and Nunchuk as their weapons - slashing, jabbing, and lunging in furious battles like a real Soul Reaper. Bleach: Shattered Blade offers an exclusive storyline created specifically for the Wii with 32 characters to choose from. Once a new character is unlocked, players can replay the story episodes utilizing the characters' special moves and weapons which brings a whole new perspective to the storyline. On the Wii, each character can perform special attacks that inflict massive damage on opponents with powerful weapons and super power attacks taken straight from the TV series. Characters can summon supernatural allies for battle support such as a giant serpent, a samurai titan, or a tidal wave. Gamers can also square-off against friends in high-speed multiplayer combat in 3D arenas and environments based on settings from the series. [Sega]",58,7.3
1056,Sega Classics Collection,PlayStation 2,2005-03-22,"Re-live the thrill and excitement of the SEGA classic games that changed the world of video games. Now with enhanced graphics and sound for a superior gameplay experience. The Sega Classics Collection includes: Outrun, Golden Axe, Space Harrier, Columns, Alien Syndrome, Fantasy Zone, Monaco GP, Virtua Racing, and Tant R & Bonanza Bros. [Sega]",46,6.8
1057,WWE SmackDown vs. Raw 2007,Xbox 360,2006-11-14,"A brand new Analog Control System makes fighting more realistic than ever with intuitive movement and new elements of control. An enhanced Season Mode provides multiple branching storylines and unprecedented levels of player choice. In and out of the ring, dozens of user-controlled environmental hotspots let players take advantage of anything at their disposal to inflict damage on opponents in new and unique ways. Additionally, new high impact combination moves let players take the power of WWE Superstars into their own hands. Experience the intensity of WWE fans in a brand new, fully loaded interactive fighting area. Players can take advantage of multiple weapons, environmental damage and grabbing signs and weapons from the crowd. WWE SmackDown vs. RAW 2007 offers multiple enhancements, including incredible high definition graphics, updated rosters for both RAW and SmackDown, an expanded General Manager Mode, online multiplayer game play with voice chat support and more. [THQ]",81,8.0
1058,WWE SmackDown vs. Raw 2007,PlayStation 2,2006-11-14,"A brand new Analog Control System makes fighting more realistic than ever with intuitive movement and new elements of control. An enhanced Season Mode provides multiple branching storylines and unprecedented levels of player choice. In and out of the ring, dozens of user-controlled environmental hotspots let players take advantage of anything at their disposal to inflict damage on opponents in new and unique ways. Additionally, new high impact combination moves let players take the power of WWE Superstars into their own hands. Experience the intensity of WWE fans in a brand new, fully loaded interactive fighting area. Players can take advantage of multiple weapons, environmental damage and grabbing signs and weapons from the crowd. WWE SmackDown vs. RAW 2007 offers multiple enhancements, including incredible high definition graphics, updated rosters for both RAW and SmackDown, an expanded General Manager Mode, online multiplayer game play with voice chat support and more. [THQ]",80,8.6
1059,WWE SmackDown vs. Raw 2007,PSP,2006-12-06,"A brand new Analog Control System makes fighting more realistic than ever with intuitive movement and new elements of control. An enhanced Season Mode provides multiple branching storylines and unprecedented levels of player choice. In and out of the ring, dozens of user-controlled environmental hotspots let players take advantage of anything at their disposal to inflict damage on opponents in new and unique ways. Additionally, new high impact combination moves let players take the power of WWE Superstars into their own hands. Experience the intensity of WWE fans in a brand new, fully loaded interactive fighting area. Players can take advantage of multiple weapons, environmental damage and grabbing signs and weapons from the crowd. WWE SmackDown vs. RAW 2007 offers multiple enhancements, including incredible high definition graphics, updated rosters for both RAW and SmackDown, an expanded General Manager Mode, online multiplayer game play with voice chat support and more. [THQ]",78,8.4
1060,Chicken Police - Paint it RED!,Switch,2020-11-05,"Sonny Featherland and Marty MacChicken were once legendary detective partners in Clawville PD. Predatory division, nicknamed as the Chicken Police. But that was a decade ago and time had passed them by... Sonny is a semi-alcoholic wreck of a bird on paid leave, while Marty still hides behind the facade of a star-detective. On the night of New Year's Eve, a mysterious woman visits Sonny with an errand which goes back to a dark corner of his past. Now, Sonny and Marty are back together again on a case stranger than anything they've ever encountered before! Chicken Police is an ""Orwellesque Buddycop Noir Adventure"", with a carefully crafted world, a gritty, dark story, and absurd humor. The game mixes elements of story-rich adventures with visual novel style dialogue-heavy storytelling, complete with a complex interrogation system, detective gameplay, and an ever-changing city.",83,6.6
1061,Chicken Police - Paint it RED!,PC,2020-11-05,"Sonny Featherland and Marty MacChicken were once legendary detective partners in Clawville PD. Predatory division, nicknamed as the Chicken Police. But that was a decade ago and time had passed them by... Sonny is a semi-alcoholic wreck of a bird on paid leave, while Marty still hides behind the facade of a star-detective. On the night of New Year's Eve, a mysterious woman visits Sonny with an errand which goes back to a dark corner of his past. Now, Sonny and Marty are back together again on a case stranger than anything they've ever encountered before! Chicken Police is an ""Orwellesque Buddycop Noir Adventure"", with a carefully crafted world, a gritty, dark story, and absurd humor. The game mixes elements of story-rich adventures with visual novel style dialogue-heavy storytelling, complete with a complex interrogation system, detective gameplay, and an ever-changing city.",82,7.7
1062,Chicken Police - Paint it RED!,Xbox One,2020-11-05,"Sonny Featherland and Marty MacChicken were once legendary detective partners in Clawville PD. Predatory division, nicknamed as the Chicken Police. But that was a decade ago and time had passed them by... Sonny is a semi-alcoholic wreck of a bird on paid leave, while Marty still hides behind the facade of a star-detective. On the night of New Year's Eve, a mysterious woman visits Sonny with an errand which goes back to a dark corner of his past. Now, Sonny and Marty are back together again on a case stranger than anything they've ever encountered before! Chicken Police is an ""Orwellesque Buddycop Noir Adventure"", with a carefully crafted world, a gritty, dark story, and absurd humor. The game mixes elements of story-rich adventures with visual novel style dialogue-heavy storytelling, complete with a complex interrogation system, detective gameplay, and an ever-changing city.",81,6.3
1063,The Westport Independent,PC,2016-01-21,"The Westport Independent is a censorship simulator set in a post-war country, governed by the recently elected Loyalist Party. As the editor of one of the final remaining independent newspapers in the country, your task is to remove and edit the content of your paper, affecting the people’s opinion of both the rebels and the Loyalist government. With an increase of rebel activity and an ever watching government breathing down your neck, whose truth will you print?",63,6.2
1064,State of Emergency,PlayStation 2,2002-02-12,"Enlist in the freedom movement to topple the tyrannical corporation. Freedom Agents duties include the following: Eliminate corporate officers, execute assassinations before targets flee to safety, steal sensitive items and documents from the corporation and return them to freedom agents at the safehouse, rescue captured allies from corporation deathsquads and help rescue them to safety. [Rockstar]",71,6.3
1065,State of Emergency,Xbox,2003-03-26,"Join the resistance and liberate your people from the oppressive Corporation. State of Emergency plunges you into a rioting mob fighting for freedom. Use hand-to-hand combat, weapons, and anything you can find on the street to add to the chaos. The streets are littered with a variety of weapons--from park benches and soda cans to flamethrowers and rocket launchers. As you fight for the cause, don't be surprised if corporate executives, law enforcement officials, and looters fight back.",67,6.5
1066,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",PC,1999-10-05,"2000 years of heresy, betrayal and lies. One frightening truth. Solve a real-life mystery with the third title in the award-winning Gabriel Knight series. Game writer and designer Jane Jensen brings you Gabriel and Grace in their most controversial adventure ever. Enter the small French village pf Rennes-le-Château, and begin the path to your destiny ? unraveling an enigma that may shatter your most closely-held beliefs. Play as both Gabriel Knight and Grace Nakamura as you learn more about what is hidden in the hills of France. But beware your life, your faith and your soul. For once the truth is found, there is no erasing it. [Sierra]",80,8.3
1067,A City Sleeps,PC,2014-10-16,"A City Sleeps follows Poe, youngest member of The Silk, an ancient clan of dream exorcists that can enter the minds of sleeping hosts to rid their dreams of demons. When the residents of SanLo fall into an endless slumber, only Poe can rescue them from a never-ending nightmare. Equipped with her legendary Koto-sword “Heartstrings”, and flanked by her stable of powerful ghost familiars, she must cleanse their dreams, and uncover the city’s dark secrets. Driven by an unforgettable original soundtrack that builds through player actions and enemy engagement, A City Sleeps infuses classic twin-stick hardcore shoot ‘em up sensibilities with moment-to-moment tactical choices.",61,6.2
1068,Klonoa 2: Dream Champ Tournament,Game Boy Advance,2005-02-23,"Floppy-eared hero Klonoa returns in another fast-paced, colorful side-scrolling adventure for the Game Boy Advance. In his latest challenge, Klonoa must race against time and other dream travelers in the Dream Champ Tournament to collect stars, sun and moon stones to become the ultimate Dream Champion. Combining platform, puzzle and adventure elements, Klonoa 2: Dream Champ Tournament is just the adventure fans of the series have been anticipating. Explore the intricate and puzzle-packed worlds where you’ll meet a wide variety of interesting creatures! Solve Fiendishly-Designed Puzzles — Use Boxes, Bomb Boxes, Switches, Pressure Switches, Goomis, Springs and Scales in your quest for glory. Hoverboard Races — Each world contains a fast-paced thrill ride of gem collecting fun! Master your Skills to Win — Klonoa must prove his skills against other dream travelers in the Dream Champ Tournament.",78,8.6
1069,Final Fantasy Crystal Chronicles: My Life as a Darklord,Wii,2009-07-20,"[WiiWare] Step into the deadly-yet-fashionable shoes of the Darklord, a malevolent miss charged with dispatching intruding do-gooders by strategically placing traps and monsters within the tower she calls home. Players will need to get their hands on increasingly diabolical traps and abominable monsters to stop those pesky adventurers from making it to the Dark Crystal at the top of the tower. Be warned, though - with heroes of all the tribes and jobs from the FINAL FANTASY CRYSTAL CHRONICLES series storming the Darklordâ??s lair in real time, traps and minions will count for nothing unless deployed with true evil genius. Anything less and the Darklordâ??s beloved home will be reduced to rubble. [Square Enix]",73,7.2
1070,Yomawari: Midnight Shadows,PlayStation 4,2017-10-24,"The follow-up to 2016’s cult horror hit Yomawari: Night Alone, Yomawari: Midnight Shadows introduces two brand-new girls, Yui and Haru, to the night and the spirits who haunt it.",77,7.0
1071,Disgaea 4: A Promise Unforgotten,PlayStation 3,2011-09-06,"Disgaea 4 is a sequel to Disgaea, a hardcore, turn-based, strategy RPG popular on the PlayStation 3 and PlayStation 2. In Disgaea, character units have a limit to their movement and attack ranges, based on level and weapons equipped. There are other special game factors that let you take advantage of the 3D battle map, many of which are unique to Disgaea. As the 4th installment in the series Disgaea 4 adopts an all new graphic engine with a much more emphasis on a anime style graphics and also adopts many new game system for an exciting battle adventure.",80,8.7
1072,Shotest Shogi,Xbox 360,2008-09-10,"[Xbox Live Arcade] You may know chess, but do you know shogi? This challenging and exciting strategy game is arguably the most popular board game in Japan. Now, Shotest Shogi arrives on Xbox Live Arcade with world-class A.I., 16 challenging computer opponents, online multiplayer, 3-D boards, and a Japanese setting. Shogi veterans can jump right in and play, while newcomers will learn the basics and finer points through animated tutorials and puzzles. Once you experience Shotest Shogi, you'll understand why the Japanese are so fascinated with the game. Interactive tutorial: Much more immersive than a simple walkthrough, the interactive tutorial has lessons and challenges to help the player learn the game and have fun. Challenging opponents: Play against world-class game A.I., with sixteen opponents featuring a range of human-style play. In local career mode, unlock new opponents as you defeat them. Earn a higher rating as you successfully play career games. Multiplayer: Play online against some of the world's greatest Shogi players on Xbox LIVE. 3-D environments: Play in two beautiful Japanese locations, with realistic pieces on a Kaya-wood Goban board. Add-on packs: Get the advanced Shogi teaching packs; it's the easiest way to learn. [Microsoft]",65,tbd
1073,TouchMaster 2,DS,2008-10-21,"The wide variety of highly interactive mini-games that made Midway’s TouchMaster a favorite in bars and arcades across the country returns again with TouchMaster 2 for the Nintendo DS. With 20 new games, including exciting twists on some familiar classics, with new spins on Mahki, Poker and Solitaire, TouchMaster 2 offers addictive fun for gamers of all ages. TouchMaster 2’s new collection includes extremely fun and exciting card, action, strategy, puzzle and picture games. Play a quick round to beat your high-score or find some real competition playing head-to-head against other players. TouchMaster 2, the personal arcade that fits snug in the palm of your hands. [Midway]",76,tbd
1074,Company of Heroes 2: The British Forces,PC,2015-09-02,This latest multiplayer standalone entry in the COH2 series features this iconic Allied army. Experience a unique tech-tree that challenges the player to balance the constant trade-off between mobility and defense. Surprise opponents with your development choices and an open end game configuration.,80,6.3
1075,Disney Castle of Illusion starring Mickey Mouse,PlayStation 3,2013-09-03,A Castle of Illusion remake may be in the works based on the latest teaser trailer from Sega.,72,7.3
1076,Disney Castle of Illusion starring Mickey Mouse,Xbox 360,2013-09-04,"Mickey Mouse returns to star in Castle of Illusion, a reimagining of the Sega Genesis classic. With all-new HD graphics and gameplay, Castle of Illusion brings Mickey and his world to life in this magical Disney adventure. When the evil witch Mizrabel kidnaps Minnie, it’s up to Mickey to face the dangers of the Castle of Illusion to rescue Minnie. Build your courage and traverse enchanted forests, challenge on hordes of rebellious toys and navigate mazes of living books. Play as Mickey and save Minnie from Mizrabel’s evil clutches.",67,7.0
1077,Eagle Flight,PC,2016-10-13,"50 years after humans vanished from the face of the Earth, nature reclaimed the city of Paris, leaving a breathtaking playground. As an eagle, you soar past iconic landmarks, dive through narrow streets, and engage in aerial dog fights to protect your territory from opponents. With intuitive controls, you quickly learn to perform impressive aerial maneuvers in the blink of an eye. Eagle Flight sends you to the skies to experience the freedom of flying and explore Paris from a never-before seen perspective.",74,6.9
1078,Eagle Flight,PlayStation 4,2016-11-08,"50 years after humans vanished from the face of the Earth, nature reclaimed the city of Paris, leaving a breathtaking playground. As an eagle, you soar past iconic landmarks, dive through narrow streets, and engage in aerial dog fights to protect your territory from opponents. With intuitive controls, you quickly learn to perform impressive aerial maneuvers in the blink of an eye. Eagle Flight sends you to the skies to experience the freedom of flying and explore Paris from a never-before seen perspective.",73,6.9
1079,Cosmophony,Wii U,2014-10-30,Cosmophony is a music-based shooter designed for challenge-seeking gamers looking for an intense gaming experience. The gamer assumes control of the heart of a fallen goddess within a dying universe in order to fulfill her destiny. The mission is to progress through a series of levels designed to be played to a 100% drum and bass soundtrack by DJ Salaryman.,73,7.0
