,Title,platform,release_date,summary,meta_score,user_review
980,Sword of the Necromancer,Switch,2021-01-28,"Help Tama to save Koko using the powers of the forbidden Sword of the Necromancer. Turn your foes into allies and reach the depths of the Necromancer's dungeon. Defeat the guardians to gain enough soul power to bring Koko back from the dead, no matter the cost.",58,8.0
981,Fast RMX,Switch,2017-03-03,"Jump into the driver's seat of your anti-gravity vehicle and put your skills to the test in high octane competitions. Play locally with three of your friends in splitscreen or online against 7 other players from all around the world. Drive through abandoned mines in the depths of the earth, to dense jungle areas, futuristic cities, crossing vast deserts and finally up into the stratosphere and beyond. Become a legend and master all courses on even the highest speed. [Nintendo]",81,7.9
982,Gears Tactics,Xbox Series X,2020-11-10,"Gears Tactics is the fast-paced, turn-based strategy game from one of the most-acclaimed video game franchises – Gears of War. Outnumbered and fighting for survival, recruit and command your squad to hunt down an evil mastermind who makes monsters.",82,7.5
983,Gears Tactics,PC,2020-04-28,"Gears Tactics is the fast-paced, turn-based strategy game from one of the most-acclaimed video game franchises – Gears of War. Outnumbered and fighting for survival, recruit and command your squad to hunt down an evil mastermind who makes monsters.",80,7.6
984,Body Harvest,Nintendo 64,1998-09-30,"Earth is dead. Mankind annihilated. Hunted to extinction by a century of alien attacks. One last, desperate chance remains - CHANGE HISTORY. Someone must travel back in time and attack the alien predators before they complete their hideous invasion. Genetically enhanced marine, Adam Drake, must make the trip into the far reaches of Earth's history. His goal - stop the alien body harvest... Travel with Adam Drake through 5 incredible levels of action-packed adventure, spanning more than a century of Earth history!",73,7.9
985,Spintires: Mudrunner,Xbox One,2017-10-31,"Spintires: MudRunner is the ultimate version of the million-seller indie hit Spintires. Like Spintires before it, Spintires: MudRunner puts players in the driver seat and dares them to take charge of incredible all-terrain vehicles, venturing across extreme Siberian landscapes with only a map and compass as guides! A huge upgrade over its predecessor, this edition comes complete with a brand new Sandbox Map joining the original game's 5 environments, a total graphical overhaul, a new Challenge mode with 9 new dedicated maps, 13 new vehicles and other comprehensive improvements. It's not just an enhanced edition, it's the ultimate off-road simulation experience! Drive 19 powerful all-terrain vehicles, each with its own characteristics and attachable equipment. Complete your objectives and deliveries by enduring perilous conditions across wild, untamed landscapes in extreme conditions with dynamic day-night cycles. Explore an immersive sandbox environment, enhanced by improved graphics. Overcome muddy terrain, raging rivers and other obstacles that all realistically react to the weight and movement of your vehicle powered by the game's advanced physics engine. With your map, compass, winch, and your driving skills as allies, go solo or join up to three others in the coop multiplayer. Download mods created by the passionate community for truck-loads of content and an ever-evolving Spintires: MudRunner experience.",72,6.5
986,Hidden Dragon Legend,Wii,2017-09-19,"Hidden Dragon is a 2.5D action platformer set in Imperial China, combining classic platform action with fast-paced combo fighting, harkening back to classics like Ninja Gaiden, Devil May Cry, and Shinobi.",52,5.3
987,Naruto: Ultimate Ninja,PlayStation 2,2006-06-26,"Join Naruto and his friends on their Ninja Academy quests as they battle the best in the land. Perfect your ninja skills to earn money and unlock tons of bonus content. Do you have what it takes to become the ultimate ninja? Be your favorite ninja: Fight as one of over 12 playable characters including Naruto, Sasuke, Sakura, Kakashi, Rock Lee and many more. Switch between 12 interactive stages mid-combat to gain a tactical advantage while performing powerful ninjutsu moves as seen in the hit television series. Lethal super attacks: Increase your chakra and unleash multi-level super attacks to ascend the ranks and become a full-fledged ninja. [Namco Bandai]",75,7.6
988,Lonely Mountains: Downhill,Switch,2020-05-07,"Just you and your bike — take it on a thrilling ride down an unspoiled mountain landscape. Make your way through thick forests, narrow trails and wild rivers. Race, jump, slide and try not to crash — all the way from the peak to the valley.",84,7.4
989,Velocity 2X,PlayStation Vita,2014-09-02,Velocity 2X features puzzle-platforming action alongside top-down shoot 'em-up gameplay.,90,7.2
990,Velocity 2X,Switch,2018-09-20,"Velocity 2X is the highly anticipated sequel to Velocity Ultra that features amazing puzzle-platforming action alongside award-winning top-down shoot em-up gameplay! Engage the Quarp Drive teleport to outsmart the enemy in race-tuned space combat, then dock your ship, jump out and run around on foot to infiltrate enemy bases. Once youve disabled internal defences, jump back into the Quarp Jet and continue your mission! Velocity 2X takes the same approach to great gameplay design that made Velocity Ultra so much fun, and applies it to a puzzle-platforming adventure too, making Velocity 2X twice the twitchy fun!",87,8.0
991,Velocity 2X,PlayStation 4,2014-09-02,Velocity 2X features puzzle-platforming action alongside top-down shoot-'em-up gameplay.,86,6.9
992,The Outer Worlds,PlayStation 4,2019-10-25,"The Outer Worlds is a new single-player first-person sci-fi RPG from Obsidian Entertainment and Private Division. Lost in transit while on a colonist ship bound for the furthest edge of the galaxy, you awake decades later only to find yourself in the midst of a deep conspiracy threatening to destroy the Halcyon colony. As you explore the furthest reaches of space and encounter various factions, all vying for power, the character you decide to become will determine how this player-driven story unfolds. In the corporate equation for the colony, you are the unplanned variable.",85,8.0
993,The Outer Worlds,Xbox One,2019-10-25,"The Outer Worlds is a new single-player first-person sci-fi RPG from Obsidian Entertainment and Private Division. Lost in transit while on a colonist ship bound for the furthest edge of the galaxy, you awake decades later only to find yourself in the midst of a deep conspiracy threatening to destroy the Halcyon colony. As you explore the furthest reaches of space and encounter various factions, all vying for power, the character you decide to become will determine how this player-driven story unfolds. In the corporate equation for the colony, you are the unplanned variable.",85,8.1
994,The Outer Worlds,PC,2019-10-25,"The Outer Worlds is a new single-player first-person sci-fi RPG from Obsidian Entertainment and Private Division. Lost in transit while on a colonist ship bound for the furthest edge of the galaxy, you awake decades later only to find yourself in the midst of a deep conspiracy threatening to destroy the Halcyon colony. As you explore the furthest reaches of space and encounter various factions, all vying for power, the character you decide to become will determine how this player-driven story unfolds. In the corporate equation for the colony, you are the unplanned variable.",82,7.3
995,The Outer Worlds,Switch,2020-06-05,"The Outer Worlds is a new single-player first-person sci-fi RPG from Obsidian Entertainment and Private Division. Lost in transit while on a colonist ship bound for the furthest edge of the galaxy, you awake decades later only to find yourself in the midst of a deep conspiracy threatening to destroy the Halcyon colony. As you explore the furthest reaches of space and encounter various factions, all vying for power, the character you decide to become will determine how this player-driven story unfolds. In the corporate equation for the colony, you are the unplanned variable. Key Features: * The player-driven story RPG: In keeping with the Obsidian tradition, how you approach The Outer Worlds is up to you. Your choices affect not only the way the story develops; but your character build, companion stories, and end game scenarios. * You can be flawed, in a good way: New to The Outer Worlds is the idea of flaws. A compelling hero is made by the flaws they carry with them. While playing The Outer Worlds, the game tracks your experience to find what you aren't particularly good at. Keep getting attacked by Raptidons? Taking the Raptiphobia flaw gives you a debuff when confronting the vicious creatures, but rewards you with an additional character perk immediately. This optional approach to the game helps you build the character you want while exploring Halcyon. * Lead your companions: During your journey through the furthest colony, you will meet a host of characters who will want to join your crew. Armed with unique abilities, these companions all have their own missions, motivations, and ideals. It's up to you to help them achieve their goals, or turn them to your own ends. * Explore the corporate colony: Halcyon is a colony at the edge of the galaxy owned and operated by a corporate board. They control everything... except for the alien monsters left behind when the terraforming of the colony's two planets didn't exactly go according to plan. Find your ship, build your crew, and explore the settlements, space stations, and other intriguing locations throughout Halcyon.",66,5.6
996,Paradigm,PC,2017-04-05,"Paradigm is a surreal adventure game set in the strange and post apocalyptic Eastern European country of Krusz. Play as the handsome mutant, Paradigm, who's past comes back to haunt him in the form of a genetically engineered sloth that vomits candy.",85,7.7
997,Road Not Taken,PC,2014-08-05,"Road Not Taken is a roguelike puzzle game about surviving the surprises in life. You assume the role of a ranger adventuring through a vast, unforgiving forest in the aftermath of a brutal winter storm, rescuing children who have lost their way. Randomly generated levels deliver a limitless supply of possibilities to explore and challenges to overcome. Your actions influence not only your own story, but the stories of the villagers you hope to befriend and the town you call home.",75,6.5
998,Road Not Taken,PlayStation 4,2014-08-05,"Road Not Taken is a roguelike puzzle game about surviving the surprises in life. You assume the role of a ranger adventuring through a vast, unforgiving forest in the aftermath of a brutal winter storm, rescuing children who have lost their way. Randomly generated levels deliver a limitless supply of possibilities to explore and challenges to overcome. Your actions influence not only your own story, but the stories of the villagers you hope to befriend and the town you call home.",70,5.6
999,Green Lantern: Rise of the Manhunters,PlayStation 3,2011-06-07,"Green Lantern: Rise of the Manhunters is inspired by the feature film, which brings the enduringly popular DC Comics super hero to the big screen for the first time and which stars Ryan Reynolds in the title role as Hal Jordan, the newest member of the Green Lantern Corps. In the videogame players will utilize over a dozen constructs and take flight across the deepest parts of the Universe to restore intergalactic order by wielding the ultimate weapon: the Green Lantern power ring.",61,6.5
1000,Green Lantern: Rise of the Manhunters,Xbox 360,2011-06-07,"Green Lantern: Rise of the Manhunters is inspired by the feature film, which brings the enduringly popular DC Comics super hero to the big screen for the first time and which stars Ryan Reynolds in the title role as Hal Jordan, the newest member of the Green Lantern Corps. In the videogame players will utilize over a dozen constructs and take flight across the deepest parts of the Universe to restore intergalactic order by wielding the ultimate weapon: the Green Lantern power ring.",59,7.3
1001,Gallop Racer 2004,PlayStation 2,2004-08-31,"(Also known as ""Gallop Racer Lucky 7"" in Japan) High-resolution graphics, advanced racing, and a variety of new modes take Gallop Racer 2004 to a higher level in digital horse racing fun. Old favorites such as the betting system and the classic season mode will also be back in the new title. Features: Enhanced Revolution Mode. Players will now be able to experience the perfect ride using the ""Ability"" setting to create an enhanced revolution called the ""Big Revolution"". Dramatic graphics such as the screen breaking into a million pieces like a mirror will add to the player's rush once they achieve the ""Big Revolution"". Affinity of Ability System. A new breeding system that allows the player to produce a maximum of eight original horses at one time. Once created these horses can be used as either the player's ride of choice or used as a rival's horse. Increased Camera Angles. Allowing the player to see their horse from every angle during the race will keep their blood pumping. Season Mode. With over 17 characters battling it out for the title of top jockey, the season mode has never been hotter or more intense! New Stages. Various new stages such as competitions against rivals and negotiations with trainers help to create the complete horse racing experience. Improved Graphics. High-resolution textures, enhanced effects, and improved use of shadow and depth of color immerse have been included to make the game look more natural and realistic. More Tracks and Horses. Featuring over 4,000 new horses and 42 tracks. [Tecmo]",70,8.7
1002,Call of Duty: Black Ops III,Xbox One,2015-11-06,"In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping full control over their weapon. Maps are designed from the ground-up for the new movement system, enabling players to be successful with traditional movement, as well as with advanced tactics and maneuvers.",81,4.8
1003,Call of Duty: Black Ops III,PlayStation 4,2015-11-06,"In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping full control over their weapon. Maps are designed from the ground-up for the new movement system, enabling players to be successful with traditional movement, as well as with advanced tactics and maneuvers.",81,5.0
1004,Call of Duty: Black Ops III,PC,2015-11-05,"In Black Ops 3, Treyarch introduces a new momentum-based chained-movement system which enables players to fluidly move through the environment with finesse, using controlled thrust jumps, slides, wall runs and mantling abilities in a myriad of combinations, all while continuously keeping full control over their weapon. Maps are designed from the ground-up for the new movement system, enabling players to be successful with traditional movement, as well as with advanced tactics and maneuvers.",73,3.3
1005,AMID EVIL,PC,2019-06-20,A retro FPS for the ages! Once branded a HERETIC. Now YOU have been chosen as our champion! Reclaim our sacred weapons. Take back our ancient lands. If you can stand... AMID EVIL.,85,7.4
1006,NightSky,3DS,2012-10-25,NightSky is an ambient action-puzzle game that offers a gameplay experience unlike any other cerebral challenges fill uniquely designed picturesque worlds. Each of these worlds is broken into different areas in which the player must maneuver a sphere by using realistic physics to advance.,75,7.6
1007,Etherium,PC,2015-03-25,"In Etherium, three empires are locked in a ruthless struggle to control a distant planet and its moons; this planet contains etherium, a mysterious and precious resource. The player will take the lead of one of the three factions, each with its individual characteristics, strengths, weaknesses, technologies and special skills, such as climate control, espionage and precognition.",62,6.3
1008,SpellForce 2: Demons of the Past,PC,2014-01-14,"Demons Of The Past is the finale in the endearing Spellforce 2 series and, like its earlier incarnations, combines RPG and RTS elements that puts players at the center of the mysterious and wonderful SpellForce universe. Demons Of The Past adds five new maps, offering eight in total to explore.",54,6.7
1009,Aces of the Luftwaffe: Squadron,Switch,2017-11-17,Avoid a swarm of bullets and face fearsome war machines in air battles and boss fights. Aces of the Luftwaffe: Squadron is a vertically scrolling shoot ‘em up with a fully-voiced narrative. Upgrade each member of your squadron with their personal skill tree and take on the Aces with up to three friends in epic 4-player local co-op battles.,71,7.3
1010,Sudden Strike,PC,2001-01-23,"Capture enemy fortifications, win the fight for possession of the buildings, and call for paratrooper and fighter-bomber reinforcements. [Strategy First]",69,7.6
1011,Hearts of Iron III,PC,2009-08-07,"Play as any nation from 1936 to1948 with more than 150 countries to choose from. More than 10,000 land provinces makes this game five times more detailed than Hearts of Iron 2 and the most detailed depiction of World War 2 ever made. Control the oceans with aircraft carriers, submarines and battleships. Use your air force to defend the skies, support naval and ground forces, and bomb your enemies. Customize your divisions in detail with more than 20 types of brigades.New economic system makes it possible to buy weapons overseas. Mobilization and reserves gives the option of surprise attacks. A completely new intelligence system makes it possible to get information about enemy reserves and troop movements.Assign troops to theatres on the map to fight two-front wars more successfully. Thousands of historically accurate real-world military commanders and politicians. Realistic military command AI with unprecedented levels of interaction. In-depth diplomatic and political system. [Paradox Interactive]",77,7.1
1012,Moto Racer Advance,Game Boy Advance,2002-12-05,,86,tbd
1013,SSX Tricky,PlayStation 2,2001-11-05,"Second-generation rider physics provide more in-air and on-snow user control. Compete in the World Circuit, go head-to-head in the unique Showoff (trick) versions of nine courses on the World Circuit, or just kick it in Free Ride. New Garibaldi and Alaska courses let you get more vertical and catch more air, while all the original courses have some new surprises. [Electronic Arts]",92,8.8
1014,SSX Tricky,Xbox,2001-12-10,"SSX Tricky launches you into a world of monster air, intense tracks, and death-defying tricks. Six all-new competitors plus six riders from the original SSX make up the circuit. Compete in the World Circuit, go head-to-head in the Showoff versions of nine courses on the World Circuit, or just practice in Free Ride. With all-new Garibaldi and Valdez courses, you'll have plenty of huge cliff drops to catch big air and pull off Uber tricks.",88,8.3
1015,SSX Tricky,GameCube,2001-12-02,"SSX Tricky launches you into a world of monster air, intense tracks, and death-defying tricks. Six all-new competitors plus six riders from the original SSX make up the circuit. Compete in the World Circuit, go head-to-head in the Showoff versions of nine courses on the World Circuit, or just practice in Free Ride. With all-new Garibaldi and Valdez courses, you'll have plenty of huge cliff drops to catch big air and pull off Uber tricks.",87,8.5
1016,SSX Tricky,Game Boy Advance,2002-10-31,"SSX Tricky launches you into a world of monster air, intense tracks, and death-defying tricks. Six all-new competitors plus six riders from the original SSX make up the circuit. Compete in the World Circuit, go head-to-head in the Showoff versions of nine courses on the World Circuit, or just practice in Free Ride. With all-new Garibaldi and Valdez courses, you'll have plenty of huge cliff drops to catch big air and pull off Uber tricks.",66,tbd
1017,"The Lord of the Rings, The Third Age",Xbox,2004-11-02,"In The Lord of the Rings: The Third Age, you can travel in the wake of the Fellowship while exploring your own path and periodically intersecting the major events of the film trilogy. Through both familiar and new locations, you must fight to save or destroy Middle-earth in an epic adventure. Encounter the demonic Balrog in the Mines of Moria, defend the fallen city of Osgiliath, or try to destroy Helm's Deep. These choices and many more will confront you as you align yourself with the people of Middle-earth or undertake missions on behalf of Sauron.",75,7.1
1018,"The Lord of the Rings, The Third Age",Game Boy Advance,2004-11-02,"In The Lord of the Rings: The Third Age, you can travel in the wake of the Fellowship while exploring your own path and periodically intersecting the major events of the film trilogy. Through both familiar and new locations, you must fight to save or destroy Middle-earth in an epic adventure. Encounter the demonic Balrog in the Mines of Moria, defend the fallen city of Osgiliath, or try to destroy Helm's Deep. These choices and many more will confront you as you align yourself with the people of Middle-earth or undertake missions on behalf of Sauron.",67,8.1
1019,Sinner: Sacrifice for Redemption,Xbox One,2018-10-18,Emerge from the depths a crumbling kingdom and to the challenge of defeating increasingly difficult demonic bosses. Choose aspects of yourself to weaken before defeating the avatars of Sin.,66,5.4
1020,Sinner: Sacrifice for Redemption,PC,2018-10-18,Emerge from the depths a crumbling kingdom and to the challenge of defeating increasingly difficult demonic bosses. Choose aspects of yourself to weaken before defeating the avatars of Sin.,63,4.1
1021,Sinner: Sacrifice for Redemption,PlayStation 4,2018-10-18,Emerge from the depths a crumbling kingdom and to the challenge of defeating increasingly difficult demonic bosses. Choose aspects of yourself to weaken before defeating the avatars of Sin.,57,3.9
1022,The King of Fighters 2000/2001,PlayStation 2,2003-12-09,"KOF2000's Party Mode and Memory Mode are available only for PS2 version. In Party Mode, you can try to beat opponents with limited power. In Memory Mode, you can enjoy opening introductions of the past KOF series. Additionally, you may get unexpected characters as strikers! KOF 2001, The last 3rd of ""Nests Story"" started from ""KOF '99"" appears on PS2. With ""4vs. 4 Tactical Order Select"" and ""Wire Damage,"" KOF2001 has newly accomplished evolution. ""Party Mode"" and ""3-D Polygon Backgrounds"" are available. [SNK Playmore]",71,8.7
1023,Darkest Dungeon,Switch,2018-01-18,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?",85,8.0
1024,Darkest Dungeon,PC,2016-01-19,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?",84,7.8
1025,Darkest Dungeon,PlayStation 4,2016-09-27,"Darkest Dungeon is a gothic roguelike RPG dungeon crawler about the psychological stresses of adventuring. You will lead a band of four heroes on a perilous side-scrolling descent, dealing with a prodigious number of threats to their bodily health, and worse, a relentless assault on their mental fortitude! Five hundred feet below the earth you will not only fight unimaginable foes, but famine, disease, and the stress of the ever-encroaching dark. Darkest Dungeon focuses on the humanity and psychological vulnerability of the heroes and asks: What emotional toll does a life of adventure take?",83,7.8
1026,King's Field: The Ancient City,PlayStation 2,2002-03-25,"An accursed idol responsible for the destruction of an ancient race has resurfaced to wreak havoc once again among the kingdoms of man. You must return the idol to the Ancient City to break its curse, but monsters of unspeakable horror haunt the ruins. There is a palpable fear in the air of the Ancient City - even the monsters themselves fear the evil that has returned. Treasures beyond imagination await the warrior bold enough to attempt the journey, strong enough to face the minions of death, and wise enough to follow the path that leads to the essence of light! Use your sword arm well to rid the land of a potent curse! Be aware that should the sword fail, you have the magical arts to serve you in your quest. [Agetec]",60,8.6
1027,Vasara Collection,Switch,2019-08-15,"For the very first time, highly acclaimed Japanese Arcade Shoot’em Ups, Vasara and Vasara 2, are made available to the whole world via this package: VASARA Collection. Science Fiction meets History in these arcade classics which take place in an alternate timelime Feudal Japan where technologically advanced weaponry and equipment are a reality, and heroes use flying motorcycles with amazing firepower and fierce melee weapons to destroy their enemies.",74,7.5
1028,Vasara Collection,Xbox One,2019-08-14,"Japanese arcade shoot’em ups Vasara and Vasara 2 come to Xbox One in a single package. It’s sci-fi meets history in these arcade classics which take place in an alternate timeline Feudal Japan where technologically, advanced weaponry, and sci-fi equipment are a reality and heroes use flying motorcycles with amazing firepower and fierce melee weapons to destroy their enemies.",73,7.2
1029,Encodya,PC,2021-01-26,"Neo Berlin 2062. Tina – a nine-year-old orphan – lives with SAM-53 – her big clumsy robot guardian –in a rooftop makeshift shelter in Neo-Berlin, a dark megalopolis controlled by corporations.",66,7.8
1030,WWE WrestleMania X8,GameCube,2002-06-09,"Legendary battles and intense drama are packed into one event--WrestleMania, where the baddest men on the planet meet to become champions of wrestling. An updated 2002 roster features superstars and newcomers Rob Van Dam, Booker T, The Hurricane, and nWo members Scott Hall, Kevin Nash, and Hulk Hogan. Master each superstar's unique wrestling style and turn the tide of the match through a combination of counters, reversals, and brutal finishing moves. Now you can start from the beginning and take your rookie wrestler up through the ranks in quest for the Heavyweight Championship Belt.",64,6.9
1031,Shadow Assault -Tenchu-,GameCube,2008-10-08,"[Xbox Live Arcade] Experience the Tenchu universe like never before in Shadow Assault Tenchu. Play single-player or with up to three other players in unique Japanese-themed environments as you employ stealth and strategy in an effort to take out your enemies. Single-player action: Different game modes require you to sneak through rooms avoiding the attention of guards, or require you to take out everyone on-screen by well-placed traps. Multiplayer: Play with up to three of your friends for both frantic and strategic action. Tenchu characters: All the characters from the Tenchu universe are here: Rikimaru, Ayame, Tesshu, and Rin. Achievements: Twelve new achievements are included for you to conquer. [Microsoft]",46,5.6
1032,"Warhammer 40,000: Kill Team",Xbox 360,2011-07-13,"In this third person arcade style shooter, players take on the role of an elite Space Marine team sent to assault a giant Ork Kroozer en-route to an Imperial Forge World. Do you have what it takes to take out the Warboss and prevent the Waaaagh?",67,7.0
1033,"Warhammer 40,000: Kill Team",PlayStation 3,2011-08-02,"In this third person arcade style shooter, players take on the role of an elite Space Marine team sent to assault a giant Ork Kroozer en-route to an Imperial Forge World. Do you have what it takes to take out the Warboss and prevent the Waaaagh?",65,6.6
1034,No Gravity: The Plague of Mind,PSP,2009-02-26,"[Playstation Network] In a distant future, a mysterious mind disease is spreading and the road to the cure lies somewhere in the depths of space. Choose between the best pilots and complete a wide range of missions in this fast paced 3D space shooter. [SCEA]",65,tbd
1035,Bound by Flame,PlayStation 4,2014-05-08,"You are a mercenary possessed by a flame demon in a desperate world ravaged by seven Ice Lords and their Dead-Army. In this RPG where all your choices lead to consequences, you will have to choose between unleashing the powers of the beast within and rejecting the demonic influence that wants to claim your humanity.",56,6.9
1036,Bound by Flame,PlayStation 3,2014-05-06,"You are a mercenary possessed by a flame demon in a desperate world ravaged by seven Ice Lords and their Dead-Army. In this RPG where all your choices lead to consequences, you will have to choose between unleashing the powers of the beast within and rejecting the demonic influence that wants to claim your humanity.",53,5.8
1037,WitchSpring3 Re:Fine - The Story of Eirudy,Switch,2021-08-13,"Witchspring3 Re: Fine -the story of eirudy takes you deep into the misty forest, where the Witch eirudy lives secluded from the rest of the world, only accompanied by her Enchanted puppets. Whilst hiding in her house in the forest, from the warriors who are out to hunt her, she continues her efforts to escape her loneliness by trying to make her puppets talk. When One day she meets an adventurous young man named adrian in the forest, eirudy's life changes as she is thrown into the tide that determines the fate of deities and humans. The adventure begins and leads you down to an entwined path between light and darkness - which path will you choose? The enchanting adventure of eirudy offers an exciting and captivating storyline, which players won't want to put down. The turn-based battle system and the individual characters that develop over time make the game a really beautiful adventure. With Japanese voice actors, and text fully localized into English, the game is a stand-alone title in the Witch spring universe. It comes with new visuals and sound, very cute art style and loveable characters. And thanks to individual storyline choices, resulting in different endings and varied battle tactics, the game is worth playing through more than once.",57,tbd
1038,WRC 3,Xbox 360,2012-10-12,"In WRC 3 the graphic aspects have been reworked to give the player the best experience in a Rally Game. Thanks to the new Spikengine new lighting effects, shadows, particle effects are featured in the game to offer the maximum level of realism to each player. And mind the new surfaces and the weather conditions.",62,7.7
1039,Mobile Suit Gundam: Journey to Jaburo,PlayStation 2,2001-08-06,Gundam fanatics take notice! PS2's first game based on the popular animae TV series takes players back to the One Year War with an epic storyine and mission-based gameplay.,58,8.2
1040,Bomberman Blast,Wii,2008-09-29,"[WiiWare] Up to 8 players can battle online at once via Nintendo Wi-Fi Connection. Simple controls make this a great game for family and friends to enjoy at anytime. New items can be triggered by shaking the Wii Remote for excitement never before experienced in a Bomberman title. You can even take the intensity up another notch by adding your own Miis to the mix. Battle results can be recorded on the Nintendo Wi-Fi Connection Ranking, so see how you stack up against others around the globe. This title promises to be a blast for everyone--from those who've never touched a Bomberman game, to the Bomberman masters. [Nintendo UK]",86,7.6
1041,Naruto Shippuden: Naruto vs. Sasuke,DS,2010-11-12,"Experience first-hand one of the most popular storylines from the NARUTO SHIPPUDEN arc as Naruto and Sasuke face off amidst a backdrop laced with intrigue and subterfuge! Discover, recruit, and swap fighters into your team to meet the needs of any given situation. Compete against your friends in Wireless Battle Mode for up to four players, or play cooperatively in the new Boss Rush Mode (local wireless only). Take part in thrilling battles and exciting mysteries, all leading up to the epic showdown between Naruto and Sasuke!",64,tbd
1042,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PlayStation 2,2004-09-13,"Jimmy Neutron: Attack of the Twonkies is jam-packed with brand new inventions and gadgets! Aliens from Twonkus-3 -- the annual comet that passes over Retroville -- overrun the town and threaten everything in their path. When music can be heard, the aliens becomes agitated -- multiplying and growing to tremendous proportions, creating some very intimidating aliens! It's up to Jimmy Neutron to figure out combinations of everyday items and turn them into inventions that will defeat the Twonkus-3 aliens. He'd better hurry up because Retroville is in need of some serious ""Brain Blasts!"" Revolutionary Inventions System allows players to collect every day objects and combine them to create more than 28 gizmos, 11 inventions and 4 super inventions. 6 episodes spanning 15 levels including Jimmy's Lab, Twonkus-3, The Neighborhood, Downtown, Retroland and the Final Showdown. Secret gizmos hidden in each level give Jimmy Neutron enhanced power-ups. [THQ]",65,7.9
1043,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GameCube,2004-09-13,"Jimmy Neutron sets off on another adventure filled with brand-new inventions and gadgets. Aliens from Twonkus-3--the annual comet that passes over Retroville--have overrun the town, threatening everything in their path. When the aliens hear music, they become agitated and grow even larger. As Jimmy, it's up to you to figure out combinations of everyday items and turn them into inventions that will defeat the Twonkus-3 aliens. Secret gizmos hidden throughout each level give you enhanced power-ups.",65,tbd
1044,Larry Ragland 4x4 Challenge,PC,2001-11-30,"Mix one part dirt and mud, 2 parts gasoline burnin’ speed, and 3 parts bare knuckle adrenaline and you get the most exhilarating indoor racer. [Xicat Interactive]",51,tbd
1045,NBA 10 The Inside,PSP,2009-10-06,"Franchise and Playoff Modes. Be the All-Star on the court played at a smooth 60 FPS. Be the General Manager making all the right deals. Play ad-hoc against your friends. All New Quest Modes: Dodge, Give & Go and MiniQuest strategy games allow the player to battle across the country for ultimate NBA domination. Crazier Mini-Games. Need a little break from your serious hoop time? Welcome to the Block Party with all new arcade-style games like Cherry Pickin’ and Bowling, joining classics like H.O.R.S.E, Alley Oop, Bang the Boards, Shootin’ Bricks, and Own the Court. [SCEA]",69,3.0
1046,BAFL: Brakes Are For Losers,Switch,2018-04-19,"BAFL is all about pure arcade fun. Challenge your friends, pick a funky car and outrun them with your driving skills and dirty tricks. Ram them out of your way or pick up bonuses to wreck them.",63,tbd
1047,Football Manager 2018,PC,2017-11-10,"Fast-track your way to footballing history with the Football Manager 2018. A double-sided Management Masterclass pull-out races you through your first steps in the digital dugout and gears you up for long-term success, helping you transform your team from contenders to champions and elevating you to managerial icon. Football Manager 2018 achieves an interactive reality in depth, emotion and control like never before, taking you places only accessible in the completely immersive game world. Quite simply, it's the closest thing to doing the job for real. They say football is a game of opinions and everyone has theirs, but it's only yours that counts around here. You make the decisions now, from who you sign and who you sell, to how you manage your budget. Will you build tactics around the players at your disposal or train them in your vision of how the game should be played? Who you pick and who you bench will affect squad harmony, and its up to you to manage it. Every decision comes back to you. Get it right and youll be the star of the show, grabbing the newspaper headlines and dominating trends on social media. Theyll write your name in footballing folklore... if you succeed, of course. With unparalleled choices both on and off the pitch, all within the immersive footballing world, it's time to decide what kind of manager do you want to be?",82,6.0
1048,Castle In The Darkness,PC,2015-02-05,,76,7.6
